t_ms,x_g,y_g,z_g
455.912,1.0,-0.04,-0.02
456.503,1.0,-0.06,-0.0
457.093,0.98,-0.03,0.0
457.655,0.99,-0.04,-0.03
458.246,0.99,-0.06,-0.0
458.836,0.99,-0.05,-0.03
459.427,1.0,-0.03,0.02
459.989,0.98,-0.05,0.05
460.551,0.99,-0.01,-0.04
461.142,0.99,-0.03,-0.0
461.732,0.99,-0.04,-0.0
462.323,0.99,-0.03,-0.0
462.913,0.96,-0.07,-0.04
463.503,0.99,-0.01,-0.11
464.094,0.97,-0.04,-0.01
464.684,1.0,-0.05,-0.03
465.275,1.0,-0.03,-0.01
465.865,0.99,-0.03,-0.02
466.456,0.98,-0.04,-0.02
467.046,0.99,-0.04,-0.01
467.637,1.0,-0.05,-0.02
468.228,0.99,-0.03,-0.02
468.818,1.01,-0.03,-0.04
469.408,1.0,-0.04,0.05
469.970,1.0,-0.05,0.0
470.532,0.99,-0.07,-0.01
471.123,0.99,-0.04,0.07
471.685,0.97,-0.08,-0.03
472.275,1.0,-0.07,-0.07
472.866,0.99,-0.07,-0.02
473.456,0.99,-0.05,-0.01
474.047,1.0,-0.07,-0.03
474.637,0.99,-0.05,0.0
475.199,1.0,-0.03,0.03
475.781,0.99,-0.07,-0.01
476.268,1.0,-0.04,-0.01
476.748,1.01,-0.04,0.06
477.251,0.99,-0.03,-0.01
477.787,0.99,-0.07,-0.0
478.377,0.99,-0.04,0.0
478.939,1.01,-0.06,-0.04
479.530,0.99,-0.05,0.05
480.075,1.0,-0.03,0.02
480.637,0.99,-0.05,-0.01
481.227,0.99,-0.06,-0.04
481.818,0.99,-0.06,-0.0
482.408,0.99,-0.06,-0.0
482.999,0.99,-0.03,-0.02
483.589,1.0,-0.04,-0.01
484.180,1.0,-0.06,0.01
484.742,0.99,-0.03,-0.03
485.332,1.0,-0.04,-0.01
485.923,0.99,-0.06,-0.01
486.513,1.0,-0.07,-0.01
487.104,1.0,-0.06,0.05
487.666,0.97,-0.07,0.09
488.228,1.01,-0.07,-0.0
488.818,0.99,-0.05,0.01
489.380,0.99,-0.06,-0.03
489.971,0.99,-0.04,-0.0
490.561,1.0,-0.04,-0.01
491.152,0.99,-0.01,0.03
491.714,0.99,-0.03,0.01
492.276,0.99,-0.01,-0.02
492.866,0.99,-0.05,0.0
493.428,1.0,-0.08,-0.01
494.019,0.99,-0.04,-0.01
494.600,1.01,-0.04,-0.01
495.082,0.98,-0.05,-0.0
495.577,1.0,-0.07,-0.03
496.092,1.0,-0.04,-0.07
496.628,0.99,-0.06,-0.04
497.219,0.99,-0.06,-0.0
497.753,0.99,-0.04,0.0
498.314,1.0,-0.01,-0.03
498.904,1.0,-0.01,0.0
499.466,0.99,-0.03,-0.0
500.056,0.99,-0.05,-0.02
500.647,0.98,-0.05,-0.0
501.237,0.99,-0.03,-0.01
501.828,0.99,-0.03,-0.01
502.418,1.0,-0.05,-0.04
503.009,1.02,-0.07,0.05
503.571,1.0,-0.06,-0.04
504.143,0.98,-0.07,-0.04
504.734,0.99,-0.07,-0.0
505.324,1.0,-0.08,-0.0
505.915,0.99,-0.01,-0.02
506.505,0.99,-0.04,0.0
507.067,1.0,-0.03,-0.0
507.658,0.99,-0.04,-0.02
508.248,0.99,-0.03,-0.01
508.839,0.99,-0.07,-0.01
509.429,0.99,-0.06,0.0
509.991,0.98,-0.03,-0.03
510.582,1.0,-0.03,-0.0
511.172,1.01,-0.04,-0.04
511.763,0.99,-0.05,0.01
512.325,0.96,-0.03,0.05
512.887,0.98,-0.07,0.01
513.449,1.0,-0.07,0.01
514.011,0.99,-0.04,0.01
514.573,0.97,-0.03,-0.02
515.163,1.0,-0.05,-0.02
515.754,1.0,-0.07,0.01
516.316,0.99,-0.06,0.0
516.895,0.99,-0.01,0.01
517.376,0.97,-0.07,-0.03
517.861,0.99,-0.04,-0.0
518.400,0.99,-0.07,0.07
518.962,0.99,-0.03,0.08
519.524,1.0,-0.05,-0.02
520.114,0.99,-0.04,0.01
520.676,0.99,-0.04,-0.01
521.212,0.99,-0.01,-0.04
521.802,0.99,-0.07,-0.01
522.393,1.0,-0.07,-0.0
522.983,1.01,-0.03,-0.0
523.573,0.99,-0.06,-0.02
524.163,0.99,-0.05,0.0
524.725,1.0,-0.04,0.01
525.287,1.0,-0.07,0.0
525.848,1.01,-0.04,-0.01
526.439,0.99,-0.05,0.05
527.001,0.99,-0.04,-0.0
527.591,0.99,-0.03,-0.03
528.181,0.99,-0.04,-0.02
528.753,0.99,-0.01,-0.01
529.344,1.0,-0.06,0.0
529.906,0.99,-0.05,-0.02
530.496,0.99,-0.04,-0.01
531.086,0.97,-0.05,0.01
531.648,0.98,-0.06,0.01
532.210,1.0,-0.04,-0.01
532.800,0.98,-0.03,-0.02
533.391,0.99,-0.05,-0.03
533.982,1.01,-0.07,0.05
534.543,0.99,-0.03,-0.02
535.134,0.99,-0.08,-0.02
535.715,0.99,-0.07,0.05
536.195,1.0,-0.03,-0.04
536.688,0.99,-0.06,-0.01
537.201,0.96,-0.05,-0.07
537.782,0.99,-0.05,0.02
538.344,0.98,-0.06,-0.01
538.934,0.99,-0.04,-0.0
539.525,0.97,-0.05,-0.01
540.115,0.99,-0.03,-0.03
540.705,1.0,-0.03,-0.02
541.295,1.0,-0.04,-0.0
541.886,0.98,-0.05,-0.03
542.476,1.0,-0.06,0.03
543.038,0.98,-0.01,-0.03
543.629,0.99,-0.03,0.01
544.191,1.0,-0.09,0.05
544.753,0.98,-0.05,0.11
545.315,0.99,-0.03,0.01
545.877,1.0,-0.07,-0.02
546.467,0.99,-0.03,-0.01
547.057,0.99,-0.03,-0.0
547.647,1.0,-0.06,-0.01
548.238,1.0,-0.05,-0.01
548.828,0.99,-0.04,-0.01
549.419,1.0,-0.07,-0.01
550.009,0.99,-0.05,-0.0
550.599,0.99,-0.07,-0.02
551.189,0.99,-0.03,0.01
551.751,1.0,-0.06,-0.0
552.342,0.99,-0.04,-0.03
552.872,1.0,-0.05,-0.02
553.463,0.99,-0.07,0.05
554.025,0.98,-0.01,0.05
554.587,0.99,-0.07,-0.04
555.177,0.98,-0.04,-0.0
555.768,0.99,-0.04,-0.0
556.358,0.99,-0.05,0.0
556.920,0.99,-0.03,-0.02
557.510,0.99,-0.07,-0.01
558.100,0.99,-0.04,0.02
558.662,0.99,-0.04,0.0
559.224,0.98,-0.05,-0.0
559.815,0.99,-0.03,-0.02
560.405,0.99,-0.06,0.0
560.967,1.0,-0.05,-0.01
561.558,0.99,-0.03,0.06
562.120,0.99,-0.05,-0.02
562.710,0.99,-0.04,-0.02
563.301,1.0,-0.07,0.07
563.863,0.98,-0.03,0.0
564.425,0.99,-0.07,-0.02
565.015,0.99,-0.04,0.0
565.577,0.99,-0.04,-0.03
566.168,1.0,-0.05,-0.01
566.758,0.99,-0.04,-0.01
567.349,1.0,-0.06,0.03
567.911,0.99,-0.03,0.0
568.473,0.99,-0.04,-0.0
569.063,1.0,-0.07,-0.01
569.654,0.98,-0.04,-0.01
570.244,0.99,-0.05,-0.0
570.835,0.99,-0.06,0.06
571.397,0.99,-0.04,-0.02
571.987,1.0,-0.06,-0.04
572.578,0.97,-0.04,-0.01
573.168,0.99,-0.03,0.01
573.730,0.99,-0.07,-0.04
574.321,1.0,-0.03,-0.01
574.911,1.0,-0.04,0.02
575.472,0.99,-0.07,-0.02
576.062,0.99,-0.05,-0.0
576.652,1.0,-0.07,0.0
577.214,0.99,-0.06,-0.01
577.790,0.99,-0.03,-0.04
